原数据,标签
0 到期 了。 就是 交 三年 然后 再 交 一次 就 可以 了 然后 满 五年 取 领取 就是 再 持有 两年。 到 二零一 七年 的 七月 二十一号 就 快 领 了。 好的 礼拜一 联。 好 我知道了 谢谢 没事 那 还有 其他 问题 吗？ 嗯 没有 了。  #,0 是否劝阻
0 可以 退 但是 损失 可能 比较 大 我帮您 看一下 您 稍等。  #,0 是否劝阻
0 慎重考虑 一下 好吧！  #,0 是否劝阻
0 嗯 对 这个 中途 退 损失 会 很 大。  #,0 是否劝阻
0 但是 这边 跟他 要 退保 的 话 只能。 因为 现在 已经 过 了 犹豫期 了 您 要 退 的 话 只能 退 对 保单 现金价值。 我 查询 到 是 当 全新 价值 是 四百 二 也 就 说 您 要 退 的 话 现在 只能 退 四百多 是 损失 非常 大 的。 而且 我看到 您 这个 购买 的 是 一个。 常青树。  #,0 是否劝阻
0 八十岁 了。 呃 就是 有点 长 诶 这样 的 我 这边 看到 您 我 相信 您 购买 这个 保单 的 话 主要 肯定 是 为了 一个 给您 提供一个 保障。 您 这个 的 话 是 每年 只 需要 到 三千多 块钱。 他 这个。 还有。  #,0 是否劝阻
0 我 交了 五千多 块钱 的 呀！ 嗯 对 他 这个 主险 的 话。 是 这样 您 现在 如果 要 退 的 话 确实 只能 退给 您 四百多 是 非常 不划算 的 您 要不 再考虑 一下吧！  #,0 是否劝阻
0 十月 十二号。 对 他 往后 延 是 有 十天 的 犹豫期 您 这边 目前 已经 是 过 了 这个 犹豫期 了 然后 中途 退保 的 话 退还给 您的 是 现金价值。 那 对 您 损失 还是 比较 大 的 建议您 再考虑 一下。  #,0 是否劝阻
0 您 可以 不 追加 然后 这边 的 话 它 中途 退保 退还 给您 的 是 现金价值。 那 对 呀 他 还是 这样 一个。  #,0 是否劝阻
0 就是 说 建议您 还是 把 这 两万块钱 交上 然后 再 持有 三年 就 可以 了 因为 您 是 在 中途 退 的 话 就 损失 挺 大 的。  #,0 是否劝阻
0 但是 您 现在 退 的 话 损失 挺 大 的 因为 这个 持有 满 五年 之后 办理 退保 才有 收益 您 现在 退 的 话 他 都是 损失 挺 大 的 这边 看到 截止 到 今天 为止 退保 的 话 才 退还 您 七千 七百六十 块钱。  #,0 是否劝阻
0 嗯 还是 建议您 考虑 一下 因为 损失 比较 大 的 女士。  #,0 是否劝阻
0 请问 还有 其他 帮您 正式 约 一份 常青树 重大疾病保险 二零一 六， 是 在 二零一六年 的 六月 二十八号 保单生效 的。 交 保费 四千 一百九十六， 交费 交 二十年 保险期间 是 保 的 郑 先生 如果您 现在 退保 的 话 对您来说 损失 挺 大 的 对吧！  #,0 是否劝阻
0 对 对 对 对 那您 这个 他是 保 的 有 三十 三种 轻症 七十 类 重疾 如果 就 中途 这 轻症重疾 都 没有 出现 过 那 它 是 保 至 被保险人 就是 身故 身故 的 时候 也是 有一个 身故保险金 赔付 的 如果 被保人 已满 十八周岁 已过 了 它 这个。 保单 复效 起 就 生效 疾病 有个 九 十天 的 疾病 等待期 嘛 过 了 等待期 之后 他是 按 这个 保额 赔付 的 保额 就是 您 这。  #,0 是否劝阻
0 十五号 那个。 对 是的 但是 七月份 哎 就 说 如果您 现在 赎回 的 话 可以 百分之三 手续费 是 会 有 损失 的。  #,0 是否劝阻
0 对 所有 的 意外 是 退还 四千多 块钱 四千 零 七十九 对您来说 损失 大概 损失 小 四千 块钱。 所以 就是 说 这边 损失 还是 比较 大 的 建议您 还是 继续 持有 一下 比较 好。  #,0 是否劝阻
0 那您 这个 保单 想 退 的 话 可以 但是 您 是 已经 过 了 犹豫期 了 退保 是 会 有 损失 的 我帮您 查询 一下 能 退 多少钱 您 稍等？  #,0 是否劝阻
0 收到 了 吗？ 是的 所以 的 话 您 现在 是 属于 中途 退保 只能 退还 现金价值 对 您 有 损失。  #,0 是否劝阻
0 嗯。 行 那 我 不 可以 怎么样？ 目前 的 话 您 这个 是 属于 中途 退保 只是 退还 您 这个 金额 的 您 可以 看一下 我们 的 保险合同 保险合同 里面 有个 现金价值表 的 您 可以 看一下 您的 保单 交费 交费 期满 了 多少 中原 之后 咱 进行 退保 就是 对 您 没有任何 损失 您 可以 进行 操作 操作 看一下 的？  #,0 是否劝阻
0 保险 现在 还 在 犹豫期 是吧！ 您 您 目前 三份 保单 都 已经 过 了 犹豫期 了 先生。 现在 您 要 进行 退保 的 话 都是 属于 中途 退保。  #,0 是否劝阻
0 都 退保 的 话 也 就是 说 损失 比较 大 是吧！  #,0 是否劝阻
0 这边 就 不能 取。 对 这个 确实 是 不能 进行 领取 如果 领取 的 话 是 属于 中途 退保 只能 退还 您 现金价值 当时 您的 现金价值 是 多少 就 退换 多少？  #,0 是否劝阻
0 全部 都 取出来 也 不行 啊！ 对 您 这边 目前 确实 是 领取 不 了 的 因为 您 申请 退保 的 话 是 属于 中途。  #,0 是否劝阻
0 那 肯定 能 退保 了 那 祝您 是 有 损失。 或者是 您 可以 看一下 您的 保险合同 里面 有个 现金价值表 您 可以 看一下 您的 保单 把 它 给 中间 之后 进行 退保 资金 没有任何 损失 您 可以 看一下。 那 信息 价值表， 对 有一个 现金价值表 您的 保险合同 里面 有一个 现金价值表 的 您 可以 进行 参考 一下。  #,0 是否劝阻
0 那您 保单 的 话 中途 退保 是 按照 现金价值 退还给 您的 是 有 损失 的。  #,0 是否劝阻
0 话 他 一般 的。 活 那么大 呀！ 那您 这边 还有 其他 问题 吗 先生 或者是 您 可以 看一下 您的 保险合同 里面 有个 现金价值表 您 可以 看一下 您 这份 保单 马上 几 周年 之后 可以 就是 把 它 给 周年 之后 退保 的 这个 金额 就是 高达 您 高达 您 交 的 这个 保费 然后 您 再次 再次 再次 期间 里面 那个 也是 可以 进行 退保 的？ 就是 您 可以 看一下。 您 保单 吗 就？  #,0 是否劝阻
0 就 每年 六千 多 了 所以 他 每年都会 为 年金 返还 所以 是 不 建议 先生 您 这边 操作 退保 因为 这款 产品 的 话。  #,0 是否劝阻
0 是 有 损失 的 您 了解 吗 女士 是 退 现金价值 会 有 损失？  #,0 是否劝阻
0 华县 是吧！ 那 肯定 呀 如果您 退 的 话 损失 是 很 大 的， 不是 的 我 也， 已经 交了 三年 了 每年 交 一万 五。  #,0 是否劝阻
0 感谢 配合 那您 这份 保单 如果 退保 的 话 公司 会 按照 您的 现金价值 退还 给您 会 对 您 损失 的 呀！  #,0 是否劝阻
0 什么 东西 干嘛 的 我 这边 的 话 是 建议您 满 三年 之后 再 退 对 您 现在 退 的 话 大概是 要 损失 这个？ 嗯 是 有 送 是 送。  #,0 是否劝阻
0 嗯 退保 的 话 是 按照 现金价值 给您 退 您 是 有 损失 的。  #,0 是否劝阻
0 就 退 这 事情 对 您 这个 保障型 的 产品 在 保单 初期 现金价值 都是 非常 低 的。 退保 有 很 大 损失。  #,0 是否劝阻
0 被保险人 是 郝 晓 峰 的 是吧！ 稍等。 那 这边 有 查到 这个 保单 是 公司 的 长 技术 二零一五 产品 保 的 是 六十 一种 重疾 十 五种 轻症 保障期限 的 话 是 到 被保险人 终身 的。 这个 产品 的 话 帮您 看一下。 女士 您 交费 交了 三次 累计 交了 一万 三千 多元。 退 的 话 截止 到 今天 也 就 只能 退 到 三千 三百二十 一点 七六 元 损失 很 大 的 因为 什么 想 退 呢？  #,0 是否劝阻
0 哎 您好 是 这样 啊 退 是 可以 但是 现在 退保 是 会 有 损失 的 这个 现在！  #,0 是否劝阻
0 你 现在 退保 是 有 损失 的 按照 现金价值 给您 退 我 这边 呢 帮您 查 只能 查到 截止 到 今天 的 您 稍等？  #,0 是否劝阻
0 这个 划 了， 对 这个 产品 的 话 总共 是 需要 您 短期 交费 五年 嘛 然后 满一年 以后 它 是 按照 保额 的 百分比 返 返 你 就 就 您 就是 咱们 小 他 也 不可 能 我 就 比如说 您 交 一万 啊 一万 三 交 两万 啊 两万 返 那 叫 按 保费 返 不 叫 按 保额 返 他 所有 的 保险产品 年金 险 都是 按 保额 反 没有 按 保费 返 的。 就是 咱们 这个 虽然 是 是 您 是 交了 五万 但是 您 是 分 了 五年 交 这 五万 的 不是说 您 一下 就 交 齐 了 五万 这个 五万 交 进来 之后 买 一年 是 返 一千 满 两年 一千一 买 三年 一千二 逐年 递增 最 多 可以 增加 到 两千 也 就是 说 您 所 交 的 最 多 的 时候 也 就是 五万 块钱 在 里面 也 没有 再 多 法 王。 五万 块钱 他 后期 如果 是 每年 两千 两千 两千 两千 就 光 这样 算 那 比如说 我 就 给您 举个 不恰当 的 例子 啊 就 五万 块钱 做 产生 两千块钱。 这个 也 如果 要 折 合成 银行利率 也 百分之四 了 对吧！ 就 现在 银行 也 就 这样 吧 也 也 好像 也 没有 达到 这个 数 而且 他 其他 的 一个 万能账户 万能账户 这个 是 产生 的 钱 会 再 给您 二次 增值 的 一个 这么 一个 账户 万能账户 目前 也 还有 一个 百分之十 的 收益率 就是 您 有钱 就 不用 的 直接 可以 把 这个 钱 放 到 万能账户 里边 去。 想 用 的 时候 拿出来 不想 用 的 时候 就 放 进去 他 也是 日 计息 月 复利 的 上个月 不 公布 百分之四 年 收益率 所有 透明 金额 可 便 资金 增值 而且 这种 满一年 之后 就 会 返 的 产品 现在 已经 停售 了 女士 就是 您 去年 买 也 买不到 现在 有 很多 客户 想 办 他 也 买 不上 了 而且 像 这种 金管家 他 也 停售 了 就 这种。 就是 怎么 领取 或者 怎么 追加 都 不收 客户 会 有的 现在 这个 现在 的 这个 金管家 账户 就 比如说 结果 就 还 付款 嘛 他是 您 每 放 进去 一笔钱 都是 会 收取 百分之一 的 手续费 您 没 取出来 一笔钱 不到 五年 的 也 会 收 手续费 不到 一年 会 收 百分之五？ 不到 两千 会 收 百分之四 这样 的 就 这种 产品 我 觉得 还 不错。  #,0 是否劝阻
0 保单 的 话 您 这个 缴费 是， 交了 三期 了 每次 缴费 金额 是 一万 两千 零七 十块钱。 保单 的 话 他是 属于 一个 保障型 的 重疾险 如果您 中途 解除合同 的 话 他 能 退还 您的 现金价值 可能会 肯定 有 很 大 损失 所以 建议您 可以 再考虑 一下。  #,0 是否劝阻
0 您的 具体 满 三年 之后 能 领取 到 的 现金价值 是 到时候 需要 看一下 您 保险合同 背面 的 现金价值表 的。 哦 那 那 一份 对 还 没有 我们 是 建议您 长期 持有 如果 三年 领取 的 话 可能 对于 您的 保费 来说 还 会 有一定 的 损失 的！  #,0 是否劝阻
0 浙 h 八。 您的 如果 是 这个 福临门 少儿 版 的 话 我们 是 建议您 持有 时间 越 长 收益 越 好 如果您 打算 就是 三年 或者 五年 那种 要 领取 的 话 这个 可能会 有一定 的 损失 所以 我们。  #,0 是否劝阻
0 您 买 这个 保险 主要 就是 一个 传统型 的 重疾险。 保 的 是 六 至 一种 重大疾病 十 五种 轻症 全残 身故 这边 这么 七号 轻症 豁免 保费 这些 我 没有 返还 的 功能。  #,0 是否劝阻
0 收益 是吧 是的 这个 福利 嘛 十二 吧 我们 是 建议您 长期 持有 持有 时间 越 长 这个？  #,0 是否劝阻
0 交 交 多少 年 呢？ 您 交费 的 话 还是 就是 您 想 三年 交 的 话 也 可以 三年 交 就是 交 完 三年 之后 就 不用再交 了 然后 您的 这份 保单 只要 您 不 退保 他 这个 年金 就 一直 返还 的。 怎么 返 呢？ 您的 这个 年 返 的 这个 年金 的 话 如果您 不 领取 是 放在 我们 保险公司 根据 我们 保险公司 的 利率 再次 产生 收益 如果您 要 领取 的 话 呢 到时候 想 要 领取 也是 可以 去 我们 分公司 柜面 去 申请？  #,0 是否劝阻
0 嗯 好的 还是 建议您 一直 长期 持有 下去 您 现在 退保 的 话 确实 挺 大 的 女士。  #,0 是否劝阻
0 这份 保险 的 话 是 保障 重大疾病 的 六七 七种 重疾 和 三 十种轻症 并且 包括 身故全残 疾病 中 末期 轻症 豁免 保费 的 几项 保险责任？  #,0 是否劝阻
0 稍等 帮您 查询 一下。 真的 话 帮您 查到 您 这份 保单 截止 到 今天 为止 如果 想 要 退保 公司 总共 能 退给 您的 现金价值 是 二百四十六 块钱， 具体 当地 保险公司 柜面 为准。 您 现在 退保 的 话 等于 损失 还是 非常 大 的 建议您 再考虑 一下。  #,0 是否劝阻
0 只能 退 那么 点 啊！ 您 现在 已经 过 了 犹豫期 了 先生， 犹豫期 外 退保 会 有 损失 的。  #,0 是否劝阻
0 嗯 这个 产品 的 话 是 您 交 三年 看到 是 已经 交 完 三年 了 然后 保险期间 是 保 十五年 的 每年都有 年金 返还 会 进入 到 万能账户 里面 复利计息 的 如果您 现在 退 的 话 只能 按 现金价值 来 退 会 有 损失 的 帮您 查询 了 一下 截 到 今天 为止 现金价值 是 两万 三千 七百一十八。 账户里面 是 有 三千 四百八十八 一共 如果 退 的 话 能 退 的 金额 是 两万 七千 二百零六 具体 公司 柜面 办理 为准。  #,0 是否劝阻
0 保单 的 话 您 这个 缴费 是， 交了 三期 了 每次 缴费 金额 是 一万 两千 零七 十块钱。 保单 的 话 他是 属于 一个 保障型 的 重疾险 如果您 中途 解除合同 的 话 他 能 退还 您的 现金价值 可能会 肯定 有 很 大 损失 所以 建议您 可以 再考虑 一下。  #,0 是否劝阻
0 嗯 退保 的 话 是 按照 现金价值 给您 退 您 是 有 损失 的。  #,0 是否劝阻
0 朋友 买 了 呃 不好意思 有 一份 查询 才 能 把 他的 一个 组合险 产品 附加 意外伤害 加 一个 加 一个 这个 意保通。 这个 保单 的 话 现在 已经 过 了 犹豫期 了 退保 是 有 损失 的 退还 的 是 您的 现金价值。  #,0 是否劝阻
0 全部 都 退掉。 如果 是 中途 退保 的 话 我们 会 有 损失 女士。  #,0 是否劝阻
0 行 我们 这边 帮您 查询 了 一下 您 这个 保单 状态 都 正常 有效 的。 嗯 您 之后 我 这边 帮您 查询 现在 如果 退保 的 话 退还 的 是 您的 现金价值 对您来说 是 有 损失 的。  #,0 是否劝阻
0 嗯 提供 投保人 的 身份证号码 帮您 查看 一下 保单 情况， 四幺 零。 四幺 零 幺零二， 幺幺 零三。 一九七三 一九七三。 幺 二二 四。 幺 二二 四六 幺 九四。 幺 九四， x 二 x。 好的 您 是 投保人 本人 吗？ 嗯 您 叫什么 名字 啊！ 李 建 青， 茵 好的 帮您 查询 的 是 购买 我 公司 的 保险产品 的， 您 刚 有 问 到 退保 是 全额 把 这份 保险 给 催缴 吗？ 嗯 对， 提醒您 一下， 这份 产品 的 话 是 二零一 七年 的 时候 办理 的 如果 要 办理 退保 是 可以 的 不过 是 按照 现金价值 给您 退 的 所以 是 比较 大 建议您 考虑 一下。 哦！ 请问 是 在 也 不用去 那个 花 不上 强 的。  #,0 是否劝阻
0 感谢 配合 信息 和 成功 您 是 在 二零一六年 二月 五号！ 二二 元 就是 购买 的 这个 保险 二月 五号 生效 您 要 这个 满 三年 之后 去 退 没有 损失 您 要 等 到 二零一 九年 二月 五号 之后 退 先生。 #,0 是否劝阻
0 您 现在 退 的 话 是 会 有 损失 的 先生 我帮您 查一下 如果说 他。 #,0 是否劝阻
0 您 现在 要 退保 的 话 退给 你的 现金价值 只有 八万 六千 五百 二十一点 二七 他 没有 满期 之后 退 的 多些。 #,0 是否劝阻
0 七 零四。 嗯。 好的 这边 看到 您 是 一六年 在 银行 买 的 财富 一号 f款 这个 保险 对 吗？ 对 的 对吧！ 那您 这份 保险 的 话 需要 三年 领取 才 没有 损失 的 如果 想 提前 的 话 也 可以。 但 现在 拿出来 钱 会 有 损失 的。 #,0 是否劝阻
0 的 那时候 就 没有任何 损失 了。 他 必须 要 到。 #,0 是否劝阻
0 二月 十一号 是吧！ 嗯 是的 那时候 话 没有任何 损失 您 现在 也 可以 拿出来 只是 这个 收益 的 话 会 有一些 损失。 #,0 是否劝阻
0 您 可以 等 到 合同 到 了 之后 您 看一下 您 再考虑。 您 在 行 吧 我 记得 看一下 嗯。 #,0 是否劝阻
0 嘛 确认 不要 了 是吗 如果您 确认 不要 的 话 因为 这边 解除合同 的 话 只能 按照 保单 的 现金价值 来 给您 退 损失 比较 大 了 给您 算 了 一下 如果 现在 解除 的 话？ 大概 只能 退给 您 是。 #,0 是否劝阻
0 那 继续 交 的 话 嗯 我。 交费 的 话 您 到明年 的 三月 二十号 它 进入 交费期 而且 从 三月 二十号 开始 的 话 公司 也 会 给 客户 有 六十天 的 宽限期 客户 在 六十天之内 交费 成功 保单 都是 正常 有效 的。 #,0 是否劝阻
0 对 但是 有时候 您 退 的 话 可能会 有 损失 具体 的 是 没关系 的。 #,0 是否劝阻
0 保 很多 保险公司 柜台 这边 办理 但是 您 退保 现在 现金价值 只有 四百 六十元。 有 损失。 #,0 是否劝阻
0 四百 六， 只能 退 为 四百 六十元 的。 啊 不需要 退！ #,0 是否劝阻
0 您 之前 买 三年 以后 您的 话 比较 划算 现在 领 的 话 会 扣除 您 百分之三 的 手续费， 就 下个 周， 先生 您 这个 现在 账户价值 是 有 六万 四千多 六万 四千 九百二十六 但是 现在 退 的 话 只能 退。 六万 两千 九百 七十八。 #,0 是否劝阻
0 嗯 对， 嗯 那 这样 先生 因为 我 这 边看 的 话 您 这个 保单 是 一六年 生效 的 然后 现在 话 已经 出 了 犹豫期 之外 了 先生 好 您 这个 退 的 话 中途 是 按照 这个 现金价值 来 退给 您 就 这个 损失 还是 比较 大 的 这个。 #,0 是否劝阻
0 嗯 那 主要 还是 想 看一下 您 买 什么 保险 了 先生 如果 是 保证 意外医疗 的 话 我们 这边是 有 那种 交 一年 保 您的 短期险 交 守护 神 呢 他 呢 就是 一年 也 不用交 多 一百块钱 就 可以？ 就 这样 建议您 保 也 可以 继续 保 下去。 #,0 是否劝阻
0 信息 过来 嘛， 您的 保单 的 话 他的 保单 保险期间 是 保 到 被保险人 年满 七十五 周岁 后 首个 保单 周年 日 的， 但 如果说 中途 想 要 退 满 三年 就 可以 退 因为 马上 您 退保 没有 手续费， 但是 您 如果说 保单 比如说 您 最近 没有 没有 急 需要 用 钱 您 觉得 产品 收益 不错 您 可以 继续 持有 的。 #,0 是否劝阻
0 退 这个 保险 不退。 您 这份 保单 是 出于 什么 原因 要 退 呢 因为 现在 退保 的 话 对您来说 损失 还是 比较 大 的？ 他 只能 退还 主险 现今 价值 加 金管家 c 现在 剩下 的 余额 一共 大概 只有 两万， 两万 八千 零 二十四。 就 三 加上 您 之前 部分 领取 出来 的 两万。 五千 六百 五 因为 您 之前 部分 领取 的 时候 有 手续费 其实 您 上 您 是 留 了 两万 七 千元。 加上 这。 #,0 是否劝阻
0 数字 对您来说 有 损失 有 将近 一半。 因为， 我 现在 是 一个问题 说 现在 呃 您 这边 说的。 #,0 是否劝阻
0 扣钱 呢？ 那您 中途 退保 的 话 可能会 有 损失 这个 我们 不确定 每天 退保 对应 的 现金价值 不一致， 合同上 会 有 一张 现金价值表 第几 年度 末 退保 相应 的 现金价值？ #,0 是否劝阻
0 嗯 对 您 就 提前 做 退 的 话 肯定 对您来说 是 有 损失 的 但 三年 以后 您 直接 看一下 您 那个 对面 那 小姐 因为 您 现金价值。 #,0 是否劝阻
0 嗯 好的 我帮您 查询 截止 到 今天 为止 退保 的 现金价值 是 一千六百 五十元 左右 如果您 现在 退保 的 话 会 有 损失 的 建议您 再考虑 一下。 #,0 是否劝阻
0 这边是 不太清楚 的 女士， 正常 的 话 一个 建议您 还是 等 他 生效 之后 过 犹豫期 犹豫期之内 退保。 嗯。 #,0 是否劝阻
0 之前 我 这 边看 您 这个 险种 截止 到现在 为止 退保 的 现金价值 合计 一共 是 五千 零 二十 点 八 二元 随着 很 大 的 建议您 考虑 一下。 #,0 是否劝阻
0 就 还是 建议您 就是 满 五年 之后 退 的 话 会 比较 合算。 #,0 是否劝阻
0 就是 按照 现金价值 来 给您 退还 损失 可能 挺 大 的 出现 建议您 考虑 一下。 那 或者是 如果您 这边 急需 用 钱 的 话 您 可以 操作 这个 保单借款 之后 然后 把 它 还 上 之后 然后 之后 满 五年 之后 再 退。 #,0 是否劝阻
0 嗯 需要 提醒您 的 是 先生 您 这个 保单 的 话 是 已经 过 了 犹豫期 的 如果您 要 退 的 话 肯定 是 要 保单 现金 价 的 退给 您 您 会 有 损失 的。 #,0 是否劝阻
0 呀！ 嗯 先生 他 这个 现在 保单 现金价值 退 的 您 选择 缴费 年限 是 二十年 保障期间 是 三十五年 的 如果您 提前 退保 那 属于 您 违约 只能 按 保单 现金价值 退给 您。 我 这边是 系统 测算 到 截止 到 今天 的 保单 限价。 建议您 考虑 一下。 #,0 是否劝阻
0 行 吧 那 行 那 先 先生 给您 把 意保通 那个 提交 申请 质保 改成 不是 保 您 那个 交强险 的 话 您 再考虑 一下 好吧。 #,0 是否劝阻
0 嗯， 好的 感谢 配合 新 核对 成功 这份 保单 都 已经 过 了 犹豫期 现在 退 的 话 您的 保费 会 受到 很 大 的 损失 请稍等。 #,0 是否劝阻
0 呃 对 因为 他 这个 的 话 是 中途 一旦 退 的 话 公司 您 这个 损失 都是 非常 大 的。 #,0 是否劝阻
0 到 二 零二 二零八 二七， 好的 女士 那 这边 给您 告知 一下 先生 您 保单 已经 是 现在 退保 的 话 已经 是 有一定 损失 了 大概是 能 退 到 六百 六百 这边 查询 六百六十五。 #,0 是否劝阻
0 请问您 叫什么 名字？ #,0 是否劝阻
0 稍等 一下， 这边 帮您 核实 了 一下 您 现在 您 当时 是 在 三月份 购买 的 现在 已经 过 了 犹豫期 如果您 要 进行 退保 的 话 是 只能 按照 目前 的 现金价值 来进行 退保 您 是 有 很 大 损失 的。 #,0 是否劝阻
0 他是 按照 现金价值 退还 的 如果 在 犹豫 期内 的 话 是 没有 损失 的， 什么 意思？ 就是 有 您 刚开始 购买保险 的 时候 有 十天 的 犹豫期 如果 过 了 这 十天 的 话 就是 有 损失 的 了。 啊！ 那个。 #,0 是否劝阻
0 当时 是 签字 的 话 就 已经 相当于 签收 了 回执 嘛。 犹豫期 现在 是 已经 过 了。 所以 您 现在 在 考虑 一下。 #,0 是否劝阻
0 如果您 要 进行 退保 的 话 是 现在 可以 帮您申请 但是 您 现在 帮您 核实 了 一下 您 现在 已经 过 了 犹豫期 了。 是 按照 您 保险合同 上 写明 的 现金价值表 上面 对应 的 金额 来进行 退还。 #,0 是否劝阻
0 您 现在 如果 要 退保 的 话 损失 是 很 大 的。 #,0 是否劝阻
0 如果您 现在 不想 要 的 话 解除合同 的 话 只能 按照 保单 的 现金价值 来 给您 退 损失 会 比较 大 了 给您 算 了 一下 如果您 现在 解除 的 话 大概 只能 退给 您 是 四千 一百五十九 左右。 #,0 是否劝阻
0 对 所以说 建议您 再考虑 一下 现在 退出 的 话 损失 比较 大 的。 #,0 是否劝阻
0 我 叫 胡 丽华 感谢您 的 配合 您 说的是 您 最近 购买 的 是 一八 年 的 六月 十四号 这 一份 吗 对 对 对 对 对 我 把 这个 退 了 那您 只 退 这 一份 的 是吗 我 我 只 退 这 一份 嗯 这个 如果 退 的 话 大概是 有一个 退保 费用 会 有 损失 这个 您 了解 吗 先生？ #,0 是否劝阻
0 那个 一份 保险， 感觉 我 活 的 这边 的 就 没什么 必要 而且 而且 每个月？ 嗯 三份 保险 加起来 要 要 交 八 百多块钱 嘛 他 说 感觉 没 没啥 必要 因为 我 这么 讲清楚 那 没必要 路边？ #,0 是否劝阻
0 赔付 您 自己 的 您 自己 这 张 保单 是 一六年 的 二月份 办 的 呃 中途 退保 是 退 您 保单 现金价值 的。 一般来说 我们 都 不 建议 客户 去 退 因为 您 先 讲 会 比较 的 这个 您 确实 考虑 清楚 了 要 退 吗？ #,0 是否劝阻
0 为什么？ 对 现在 帮您 查询 到 退保 确实 有 损失 建议您 可以 考虑 一下 好吧 先生。  #,0 是否劝阻
0 对 损失 比较 大 建议您 考虑。  #,0 是否劝阻
0 对 所以 这个 自己 来说 还是 比较 有 损失 的 建议您 再考虑 一下。  #,0 是否劝阻
0 然后 您 就是 需要 到 保险公司 柜面 去 办理 的 拿着 您的 保单。 还有 身份证 银行卡 到 保险公司 去 办理 一下 就 可以 了。  #,0 是否劝阻
0 行 那么 多 嘛。 您的 保险 需要 交十年 的 十年 的 费 保险期间 是 三十年 的 先生。 您 如果 不退 的 话 呢 他 有 满期金 退 的 话 中途 会 有 损失 的？  #,0 是否劝阻
0 不客气 建议您 慎重考虑 一下 现在 不办 退 了。  #,0 是否劝阻
0 保单 的 话 是 一定 的 保险 保障 责任 这个 险种 一次 性交 清 保费 咱们 的 持有 期限 的 话 是 三周年 也 就 说 满期 退还 给您 园 是吧 加 分红 原始 保额 也是 固定 的 十万八千 一百 再 加上 您 三年 的 分红 金额 也是 非常 的 透明化 确实？  #,0 是否劝阻
0 建议您 还是 继续 持有 您 险种 收益 情况 还 很好 的。 我 就 把 他们 是 觉得 你 真的 有。  #,0 是否劝阻
0 风险 嘛 对不对。 对 您 第一 购买 的 是 一份 保险 他 肯定 只有 他的 一个 保险 保障 责任 这个 您 完全 可以放心 女士。 就是 说 它 并不是 说 像 投资理财 有 风险 只要 您 保单 满 三周年 以后 终止 合同 那么 我们 就是 按照 合同 当中。  #,0 是否劝阻
0 我 就是 他 这 一种 啊 对 他是 不允许 国家 就 不允许 倒闭 女士 您的 保单 是 有 具有 法律 效应 的 保险 保障 责任 在 里面。 他是 不允许 倒闭 的 即使 在 经营 不 下去 的 一个 情况 下 他 也 会 有 其他。 这种 能够 鉴定 的 公司 就 其他 的 大公司 现在 的 经营状况 非常好 的 也 会 有 其他 保险公司 来进行 兼 并 并 不会 让 这 家 保险公司 去 消失 掉 这 只 局限于 人寿 的 保险公司 项 这种。 理财 呀 什么 什么 理财 这种 的 肯定 是 国家 允许 但是 寿险 公司 是 不允许 倒闭 的 所以说 您 完全 可以放心？ 您的 保单 具有 法律 效应 的。  #,0 是否劝阻
0 六月 十三号 开始 算 六十天之内 您 把 保费 交上 都 行。  #,0 是否劝阻
0 扣 那么 多 啊 对 您 会 损失 很 大 一笔 签 所以说 您 再 慎重考虑 一下。  #,0 是否劝阻
0 我 晕 了 感谢您 的 配合 信息 核对 成功 您的 保险 本来 是 每年 交 三万 交 两年 满 五年 可 退 的 如果 是 现在 退 的 话 是 退 您 现金价值 您 会 有 损失 的 今天 的 退保 金额 是 一万 三千 九百八十 元。  #,0 是否劝阻
0 如果 您还想 要 准备 的 再 想 了解 这款 产品 的 话 都 可以 跟您， 说明 一下。  #,0 是否劝阻
0 哦 你 就！ 就是 这个 利率 呢 在 华夏 人寿 的 官方网站 上 呢 都是 有 这个 公布 的 这款 险种 呢 是？ 二月份 来进行 销售 的 二月份 三月份 四月份 五月份 都 四s 的 的 结算利率 这 几个月 来 比较 稳定 的？ 帮您 查询 到 的 那 之后 是 我 公司 通过 银行 销售 的 一款 呢 这个 万能型 的 保险产品 通过 银行 来进行 一个 时候 嘛？ 嗯 保险责任 呢 就是 有 这个 满期金？ 然后 是 身故保险金 还有 这个。 呃 就是 满期金 和 身故 保险 的 只有 这。  #,0 是否劝阻
0 五年 的 吗？ 买 了 五年 保单 满期 能 贷 到 您的 这个 满期 金额。 呃 您的 这个 满期 金额 呢 就是 这个 满期 本合同 满期 满期的时候 账户价值 的 百分之 一百零二 对 为证 满期金 就 放 满 五年 之后？ 您 您 比如说 现在 这个。 嗯。 现在 十二 是吧 五年 之后 比如说 是 三十万 了 就 三十万 的 百分之 一百二十 一百零二？ 多 给 百分之二十。  #,0 是否劝阻
0 数字 是吧 哦 就是 这 两项 拿 一千多 就 给 咱 一个？ 但是 这个 呢 他 也 不会 太 呃 不 不会 亏 就是 这 两项 哪个 钱 多 给 哪个 具体 的 数字 呢 只有 这个 产生 之后？  #,0 是否劝阻
0 取消 掉 的 是吧！ 产品 是 有 犹豫期 的 犹豫 期内 退保 是 全额 退 的， 犹豫期 就是 您 考虑 的 时间 您 可以 考虑 一下。  #,0 是否劝阻
